Name,RA,DEC,DF Source,#bib,#not,Name list,Type list,Redshift Flag,RA list,DEC list,#bib list,#not list,Redshift Flag list,Redshift list
ULAS J234311.93-005034.0B,355.79963,-0.84298,['N'],,,['ULAS J234311.93-005034.0B'],['Q_Lens'],,[355.79963],[-0.84298],[1.0],[1.0],['    '],[0.788]
ULAS J234311.93-005034.0A,355.79998,-0.84282,['N'],,,['ULAS J234311.93-005034.0A'],['Q_Lens'],,[355.79998],[-0.84282],[1.0],[1.0],['    '],[0.788]
MACS J2135-0102:[ZB2016] 1.02,323.79839,-1.04787,['N'],,,['MACS J2135-0102:[ZB2016] 1.02'],['G_Lens'],,[323.79839],[-1.04787],[211.0],[0.0],[nan],[nan]
SL2S J221929-001743,334.87083,-0.29528,['N'],,,['SL2S J221929-001743'],['G'],,[334.87083],[-0.29528],[7.0],[0.0],['UUN '],[0.289]
Cosmic Eye,323.80296,-1.02886,['N'],,,['Cosmic Eye'],['G'],,[323.80296],[-1.02886],[1.0],[0.0],['SPEC'],[3.0735]
RX J2129.6+0005:[RSK2010] 1.1,322.4204,0.0883,['N'],,,['RX J2129.6+0005:[RSK2010] 1.1'],['G_Lens'],,[322.4204],[0.0883],[4.0],[0.0],['    '],[1.965]
RX J2129.6+0005:[RSK2010] 1.2,322.42018,0.08972,['N'],,,['RX J2129.6+0005:[RSK2010] 1.2'],['G_Lens'],,[322.42018],[0.08972],[4.0],[0.0],['    '],[1.965]
RX J2129.6+0005:[RSK2010] 1.3,322.41798,0.09325,['N'],,,['RX J2129.6+0005:[RSK2010] 1.3'],['G_Lens'],,[322.41798],[0.09325],[3.0],[0.0],['PHOT'],[1.45]
SDSS J2111-0114:[BHG2011] C1,317.83081,-1.24449,['N'],,,['SDSS J2111-0114:[BHG2011] C1'],['G_Lens'],,[317.83081],[-1.24449],[1.0],[0.0],['    '],[1.152]
SDSS J2111-0114:[BHG2011] B1,317.83301,-1.23233,['N'],,,['SDSS J2111-0114:[BHG2011] B1'],['G_Lens'],,[317.83301],[-1.23233],[1.0],[0.0],['    '],[1.476]
SDSS J2111-0115:[OHG2009] A2,317.82896,-1.24192,"['N', 'N']",,,"['SDSS J2111-0115:[OHG2009] A2', 'SDSS J2111-0114:[SBD2020] 1d.1']","['G_Lens', 'G_Lens']",,"[317.82896, 317.8287]","[-1.24192, -1.24201]","[7.0, 1.0]","[0.0, 0.0]","['SPEC', nan]","[2.856, nan]"
SDSS J2111-0115:[OHG2009] A3,317.83446,-1.24217,['N'],,,['SDSS J2111-0115:[OHG2009] A3'],['G_Lens'],,[317.83446],[-1.24217],[1.0],[0.0],[':   '],[2.858]
DES J2146-0047:[ATO2015] B,326.69179,-0.79601,"['N', 'N']",,,"['DES J2146-0047:[ATO2015] B', 'SDSS J2146-0047:[MOK2016] B']","['Q_Lens', 'G_Lens']",,"[326.69179, 326.69174]","[-0.79601, -0.79597]","[1.0, 1.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
RX J2129.7+0005:[ZFM2015] 02.1,322.41854,0.08489,['N'],,,['RX J2129.7+0005:[ZFM2015] 02.1'],['G_Lens'],,[322.41854],[0.08489],[1.0],[0.0],['PHOT'],[1.54]
RX J2129.7+0005:[ZFM2015] 02.2,322.41695,0.09031,['N'],,,['RX J2129.7+0005:[ZFM2015] 02.2'],['G_Lens'],,[322.41695],[0.09031],[1.0],[0.0],['PHOT'],[0.99]
RX J2129.7+0005:[ZFM2015] 02.3,322.4159,0.0915,['N'],,,['RX J2129.7+0005:[ZFM2015] 02.3'],['G_Lens'],,[322.4159],[0.0915],[1.0],[0.0],['PHOT'],[1.12]
RX J2129.7+0005:[ZFM2015] 03.1,322.4185,0.08547,['N'],,,['RX J2129.7+0005:[ZFM2015] 03.1'],['G_Lens'],,[322.4185],[0.08547],[2.0],[0.0],['PHOT'],[0.72]
RX J2129.7+0005:[ZFM2015] 03.2,322.41767,0.09027,['N'],,,['RX J2129.7+0005:[ZFM2015] 03.2'],['G_Lens'],,[322.41767],[0.09027],[2.0],[0.0],['PHOT'],[0.42]
RX J2129.7+0005:[ZFM2015] 03.3,322.41572,0.09222,['N'],,,['RX J2129.7+0005:[ZFM2015] 03.3'],['G_Lens'],,[322.41572],[0.09222],[2.0],[0.0],['PHOT'],[1.39]
RX J2129.7+0005:[ZFM2015] 05.1,322.41659,0.08774,['N'],,,['RX J2129.7+0005:[ZFM2015] 05.1'],['G_Lens'],,[322.41659],[0.08774],[2.0],[0.0],['PRED'],[1.01]
RX J2129.7+0005:[ZFM2015] 05.2,322.41627,0.0881,['N'],,,['RX J2129.7+0005:[ZFM2015] 05.2'],['G_Lens'],,[322.41627],[0.0881],[2.0],[0.0],['PRED'],[1.01]
RX J2129.7+0005:[ZFM2015] 05.3,322.41388,0.09157,['N'],,,['RX J2129.7+0005:[ZFM2015] 05.3'],['G_Lens'],,[322.41388],[0.09157],[3.0],[0.0],['PHOT'],[0.55]
RX J2129.7+0005:[ZFM2015] 06.1,322.41491,0.09041,['N'],,,['RX J2129.7+0005:[ZFM2015] 06.1'],['G_Lens'],,[322.41491],[0.09041],[1.0],[0.0],['PRED'],[0.61]
RX J2129.7+0005:[ZFM2015] 06.2,322.41518,0.08895,['N'],,,['RX J2129.7+0005:[ZFM2015] 06.2'],['G_Lens'],,[322.41518],[0.08895],[1.0],[0.0],['PRED'],[0.61]
RX J2129.7+0005:[ZFM2015] 06.3,322.41664,0.08675,['N'],,,['RX J2129.7+0005:[ZFM2015] 06.3'],['G_Lens'],,[322.41664],[0.08675],[1.0],[0.0],['PRED'],[0.61]
DES J0250+0008:[NBL2016] A,42.53708,0.13722,['N'],,,['DES J0250+0008:[NBL2016] A'],['G_Lens'],,[42.53708],[0.13722],[1.0],[0.0],['1LIN'],[1.2081]
DES J0250+0008:[NBL2016] B,42.53479,0.13891,['N'],,,['DES J0250+0008:[NBL2016] B'],['G_Lens'],,[42.53479],[0.13891],[1.0],[0.0],[nan],[nan]
EEL J2228 BG,337.17,-0.30468,['N'],,,['EEL J2228 BG'],['G_Lens'],,[337.17],[-0.30468],[3.0],[0.0],['    '],[0.4366]
SDSS J0004-0103:[SBD2020] 1a.2,1.21514,-1.05576,"['N', 'N', 'N']",,,"['SDSS J0004-0103:[SBD2020] 1a.2', 'SDSS J0004-0103:[SBD2020] 1b.2', 'SDSS J0004-0103:[SBD2020] 1c.2']","['G_Lens', 'G_Lens', 'G_Lens']",,"[1.21514, 1.21528, 1.21522]","[-1.05576, -1.05567, -1.05572]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[nan, nan, nan]","[nan, nan, nan]"
SDSS J0004-0103:[SBD2020] 1a.3,1.21487,-1.05552,['N'],,,['SDSS J0004-0103:[SBD2020] 1a.3'],['G_Lens'],,[1.21487],[-1.05552],[1.0],[0.0],[nan],[nan]
SDSS J0004-0103:[SBD2020] 1b.1,1.21582,-1.05591,"['N', 'N']",,,"['SDSS J0004-0103:[SBD2020] 1b.1', 'SDSS J0004-0103:[SBD2020] 1c.3']","['G_Lens', 'G_Lens']",,"[1.21582, 1.21569]","[-1.05591, -1.05594]","[1.0, 1.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
