Name,RA,DEC,DF Source,#bib,#not,Name list,Type list,Redshift Flag,RA list,DEC list,#bib list,#not list,Redshift Flag list,Redshift list
MACS J2135-0102:[ZB2016] 4.02,323.79885,-1.04766,['N'],,,['MACS J2135-0102:[ZB2016] 4.02'],['G_Lens'],,[323.79885],[-1.04766],[nan],[nan],[nan],[nan]
MACS J2135-0102:[ZB2016] 4.01,323.79901,-1.04791,['N'],,,['MACS J2135-0102:[ZB2016] 4.01'],['G_Lens'],,[323.79901],[-1.04791],[nan],[nan],['MOD '],[1.4]
MACS J2135-0102:[ZB2016] 1.11,323.79915,-1.04846,['N'],,,['MACS J2135-0102:[ZB2016] 1.11'],['G_Lens'],,[323.79915],[-1.04846],[nan],[nan],[nan],[nan]
MACS J2135-0102:[ZB2016] 5.01,323.79955,-1.04858,['N'],,,['MACS J2135-0102:[ZB2016] 5.01'],['G_Lens'],,[323.79955],[-1.04858],[nan],[nan],['MOD '],[3.0]
MACS J2135-0102:[ZB2016] 7.03,323.8008,-1.05398,['N'],,,['MACS J2135-0102:[ZB2016] 7.03'],['G_Lens'],,[323.8008],[-1.05398],[nan],[nan],[nan],[nan]
MACS J2135-0102:[ZB2016] 2.02,323.80081,-1.06033,['N'],,,['MACS J2135-0102:[ZB2016] 2.02'],['G_Lens'],,[323.80081],[-1.06033],[nan],[nan],['SPEC'],[2.319]
MACS J2135-0102:[ZB2016] 8.03,323.80081,-1.0546,['N'],,,['MACS J2135-0102:[ZB2016] 8.03'],['G_Lens'],,[323.80081],[-1.0546],[nan],[nan],[nan],[nan]
Cosmic Eye N,323.80284,-1.02859,['N'],,,['Cosmic Eye N'],['G_Lens'],,[323.80284],[-1.02859],[nan],[nan],['    '],[3.0744]
Cosmic Eye S,323.80295,-1.02914,['N'],,,['Cosmic Eye S'],['G_Lens'],,[323.80295],[-1.02914],[nan],[nan],['    '],[3.0747]
MACS J2135-0102:[ZB2016] 8.01,323.80383,-1.046,['N'],,,['MACS J2135-0102:[ZB2016] 8.01'],['G_Lens'],,[323.80383],[-1.046],[nan],[nan],['PHOT'],[1.5]
MACS J2135-0102:[ZB2016] 7.01,323.80433,-1.04571,['N'],,,['MACS J2135-0102:[ZB2016] 7.01'],['G_Lens'],,[323.80433],[-1.04571],[nan],[nan],['PHOT'],[1.81]
MACS J2135-0102:[ZB2016] 3.02,323.80453,1.04131,['N'],,,['MACS J2135-0102:[ZB2016] 3.02'],['G_Lens'],,[323.80453],[1.04131],[nan],[nan],['PHOT'],[1.39]
MACS J2135-0102:[ZB2016] 6.01,323.80496,-1.04681,['N'],,,['MACS J2135-0102:[ZB2016] 6.01'],['G_Lens'],,[323.80496],[-1.04681],[nan],[nan],['PHOT'],[1.52]
MACS J2135-0102:[ZB2016] 6.02,323.80615,-1.04914,['N'],,,['MACS J2135-0102:[ZB2016] 6.02'],['G_Lens'],,[323.80615],[-1.04914],[nan],[nan],['PHOT'],[1.65]
MACS J2135-0102:[ZB2016] 8.02,323.80659,-1.05431,['N'],,,['MACS J2135-0102:[ZB2016] 8.02'],['G_Lens'],,[323.80659],[-1.05431],[nan],[nan],['PHOT'],[1.64]
MACS J2135-0102:[ZB2016] 7.02,323.80714,-1.05285,['N'],,,['MACS J2135-0102:[ZB2016] 7.02'],['G_Lens'],,[323.80714],[-1.05285],[nan],[nan],['PHOT'],[2.23]
MACS J2135-0102:[ZB2016] 3.01,323.80834,-1.04472,['N'],,,['MACS J2135-0102:[ZB2016] 3.01'],['G_Lens'],,[323.80834],[-1.04472],[nan],[nan],['PHOT'],[1.66]
MACS J2135-0102:[ZB2016] 1.03,323.81489,-1.05358,"['N', 'N']",,,"['MACS J2135-0102:[ZB2016] 1.03', 'MACS J2135-0102:[ZB2016] c5.03']","['G_Lens', 'G_Lens']",,"[323.81489, 323.81513]","[-1.05358, -1.05358]","[nan, nan]","[nan, nan]","[nan, nan]","[nan, nan]"
MACS J2135-0102:[ZB2016] c4.03,323.81511,-1.05323,['N'],,,['MACS J2135-0102:[ZB2016] c4.03'],['G_Lens'],,[323.81511],[-1.05323],[nan],[nan],[nan],[nan]
DES J2140+0057:[DBL2017] 2,325.19725,0.95522,['N'],,,['DES J2140+0057:[DBL2017] 2'],['G_Lens'],,[325.19725],[0.95522],[nan],[nan],['PHOT'],[0.11]
DES J2140+0057:[DBL2017] 1,325.19806,0.95537,['N'],,,['DES J2140+0057:[DBL2017] 1'],['G_Lens'],,[325.19806],[0.95537],[nan],[nan],['PHOT'],[0.15]
DES J2149-0012:[DBL2017] 1,327.3135,-0.2135,['N'],,,['DES J2149-0012:[DBL2017] 1'],['G_Lens'],,[327.3135],[-0.2135],[nan],[nan],[nan],[nan]
DES J2156+0058:[DBL2017] 2,329.24528,0.96978,['N'],,,['DES J2156+0058:[DBL2017] 2'],['G_Lens'],,[329.24528],[0.96978],[nan],[nan],['PHOT'],[0.58]
DES J2156+0058:[DBL2017] 1,329.24584,0.97284,['N'],,,['DES J2156+0058:[DBL2017] 1'],['G_Lens'],,[329.24584],[0.97284],[nan],[nan],['PHOT'],[0.49]
DES J2159+0026:[DBL2017] 1,329.8991,0.444,['N'],,,['DES J2159+0026:[DBL2017] 1'],['G_Lens'],,[329.8991],[0.444],[nan],[nan],[nan],[nan]
SL2S J220629+005728,331.62242,0.95804,['N'],,,['SL2S J220629+005728'],['G'],,[331.62242],[0.95804],[nan],[nan],['UUN '],[0.704]
DES J2212-0008:[DBL2017] 3,333.04643,-0.13922,['N'],,,['DES J2212-0008:[DBL2017] 3'],['G_Lens'],,[333.04643],[-0.13922],[nan],[nan],['PHOT'],[0.25]
DES J2212-0008:[DBL2017] 2,333.04745,-0.1383,['N'],,,['DES J2212-0008:[DBL2017] 2'],['G_Lens'],,[333.04745],[-0.1383],[nan],[nan],['PHOT'],[0.26]
DES J2212-0008:[DBL2017] 1,333.04812,-0.13818,['N'],,,['DES J2212-0008:[DBL2017] 1'],['G_Lens'],,[333.04812],[-0.13818],[nan],[nan],['PHOT'],[0.24]
DES J2213-0018:[DBL2017] 2,333.27705,-0.30996,['N'],,,['DES J2213-0018:[DBL2017] 2'],['G_Lens'],,[333.27705],[-0.30996],[nan],[nan],['PHOT'],[0.47]
DES J2213-0018:[DBL2017] 1,333.27877,-0.30855,['N'],,,['DES J2213-0018:[DBL2017] 1'],['G_Lens'],,[333.27877],[-0.30855],[nan],[nan],['PHOT'],[0.73]
SL2S J221326-000946,333.35908,-0.16287,['N'],,,['SL2S J221326-000946'],['G'],,[333.35908],[-0.16287],[nan],[nan],['UUN '],[0.338]
DES J2214+0110:[DBL2017] 1,333.57864,1.17741,['N'],,,['DES J2214+0110:[DBL2017] 1'],['G_Lens'],,[333.57864],[1.17741],[nan],[nan],['PHOT'],[0.59]
DES J2214+0110:[DBL2017] 2,333.5791,1.1763,['N'],,,['DES J2214+0110:[DBL2017] 2'],['G_Lens'],,[333.5791],[1.1763],[nan],[nan],[nan],[nan]
DES J2215+0102:[DBL2017] 1,333.80522,1.04516,['N'],,,['DES J2215+0102:[DBL2017] 1'],['G_Lens'],,[333.80522],[1.04516],[nan],[nan],['PHOT'],[0.76]
DES J2226+0041:[DBL2017] 1,336.53814,0.69494,['N'],,,['DES J2226+0041:[DBL2017] 1'],['G_Lens'],,[336.53814],[0.69494],[nan],[nan],['PHOT'],[0.94]
DES J2233-0104:[OWD2022] 2,338.31923,-1.0684,['N'],,,['DES J2233-0104:[OWD2022] 2'],['G_Lens'],,[338.31923],[-1.0684],[nan],[nan],['PLE '],[1.05]
DES J2233-0104:[OWD2022] 1,338.32013,-1.06788,['N'],,,['DES J2233-0104:[OWD2022] 1'],['G_Lens'],,[338.32013],[-1.06788],[nan],[nan],['PLE '],[0.97]
DES J2241-0057:[DBL2017] 2,340.42016,-0.96284,['N'],,,['DES J2241-0057:[DBL2017] 2'],['G_Lens'],,[340.42016],[-0.96284],[nan],[nan],['PHOT'],[0.42]
DES J2241-0057:[DBL2017] 1,340.4207,-0.96312,['N'],,,['DES J2241-0057:[DBL2017] 1'],['G_Lens'],,[340.4207],[-0.96312],[nan],[nan],['PHOT'],[0.69]
DES J2249-0110:[DBL2017] 1,342.40979,-1.18009,['N'],,,['DES J2249-0110:[DBL2017] 1'],['G_Lens'],,[342.40979],[-1.18009],[nan],[nan],['PHOT'],[0.84]
DES J2252+0107:[DBL2017] 1,343.09436,1.11685,['N'],,,['DES J2252+0107:[DBL2017] 1'],['G_Lens'],,[343.09436],[1.11685],[nan],[nan],['PHOT'],[0.14]
DES J2307+0106:[DBL2017] 1,346.8786,1.11453,['N'],,,['DES J2307+0106:[DBL2017] 1'],['G_Lens'],,[346.8786],[1.11453],[nan],[nan],['PHOT'],[0.39]
DES J2307+0106:[DBL2017] 3,346.87883,1.1133,['N'],,,['DES J2307+0106:[DBL2017] 3'],['G_Lens'],,[346.87883],[1.1133],[nan],[nan],['PHOT'],[0.38]
DES J2307+0106:[DBL2017] 2,346.8791,1.11393,['N'],,,['DES J2307+0106:[DBL2017] 2'],['G_Lens'],,[346.8791],[1.11393],[nan],[nan],['PHOT'],[0.35]
DES J2308+0008:[DBL2017] 2,347.22746,0.13644,['N'],,,['DES J2308+0008:[DBL2017] 2'],['G_Lens'],,[347.22746],[0.13644],[nan],[nan],['PHOT'],[0.68]
DES J2308+0008:[DBL2017] 1,347.22788,0.13623,['N'],,,['DES J2308+0008:[DBL2017] 1'],['G_Lens'],,[347.22788],[0.13623],[nan],[nan],['PHOT'],[0.86]
DES J2309-0047:[DBL2017] 2,347.28575,-0.79152,['N'],,,['DES J2309-0047:[DBL2017] 2'],['G_Lens'],,[347.28575],[-0.79152],[nan],[nan],['PHOT'],[0.42]
DES J2309-0047:[DBL2017] 1,347.28631,-0.79214,['N'],,,['DES J2309-0047:[DBL2017] 1'],['G_Lens'],,[347.28631],[-0.79214],[nan],[nan],['PHOT'],[0.3]
SDSS J230946.3-003912.9 ARC01,347.44292,-0.65358,['N'],,,['SDSS J230946.3-003912.9 ARC01'],['G_Lens'],,[347.44292],[-0.65358],[nan],[nan],['    '],[1.005]
DES J2313-0104:[DBL2017] 3,348.47694,-1.08186,['N'],,,['DES J2313-0104:[DBL2017] 3'],['G_Lens'],,[348.47694],[-1.08186],[nan],[nan],['PHOT'],[0.79]
DES J2313-0104:[DBL2017] 2,348.47738,-1.08188,['N'],,,['DES J2313-0104:[DBL2017] 2'],['G_Lens'],,[348.47738],[-1.08188],[nan],[nan],['PHOT'],[0.67]
DES J2313-0104:[DBL2017] 1,348.47848,-1.08158,['N'],,,['DES J2313-0104:[DBL2017] 1'],['G_Lens'],,[348.47848],[-1.08158],[nan],[nan],['PHOT'],[0.23]
DES J2328-0030:[DBL2017] 2,352.19181,-0.50694,['N'],,,['DES J2328-0030:[DBL2017] 2'],['G_Lens'],,[352.19181],[-0.50694],[nan],[nan],['PHOT'],[0.25]
DES J2328-0030:[DBL2017] 1,352.19187,-0.50616,['N'],,,['DES J2328-0030:[DBL2017] 1'],['G_Lens'],,[352.19187],[-0.50616],[nan],[nan],['PHOT'],[0.19]
[HB89] 2345+006B,357.07998,0.95489,['N'],,,['[HB89] 2345+006B'],['Q_Lens'],,[357.07998],[0.95489],[nan],[nan],['SPEC'],[2.153406]
[HB89] 2345+006A,357.08162,0.95597,['N'],,,['[HB89] 2345+006A'],['Q_Lens'],,[357.08162],[0.95597],[nan],[nan],['SLS '],[2.15]
DES J2355-0007:[DBL2017] 1,358.82402,-0.12387,['N'],,,['DES J2355-0007:[DBL2017] 1'],['G_Lens'],,[358.82402],[-0.12387],[nan],[nan],['PHOT'],[0.13]
DES J2356+0012:[DBL2017] 1,359.14221,0.20684,['N'],,,['DES J2356+0012:[DBL2017] 1'],['G_Lens'],,[359.14221],[0.20684],[nan],[nan],['PHOT'],[0.54]
DES J2356+0012:[DBL2017] 2,359.14235,0.20579,['N'],,,['DES J2356+0012:[DBL2017] 2'],['G_Lens'],,[359.14235],[0.20579],[nan],[nan],['PHOT'],[0.51]
